Level;Proficiency Bonus;Features;Cantrips Known;1st;2nd;3rd;4th;5th;6th;7th;8th;9th
1st;2;Spellcasting, Bardic Inspiration (d6);2;2;-;-;-;-;-;-;-;-
2nd;2;Jack of All Trades, Song of Rest (d6);2;3;-;-;-;-;-;-;-;-
3rd;2;Bard College, Expertise;2;4;2;-;-;-;-;-;-;-
4th;2;Ability Score Improvement;3;4;3;-;-;-;-;-;-;-
5th;3;Bardic Inspiration (d8), Font of Inspiration;3;4;3;2;-;-;-;-;-;-
6th;3;Countercharm, Bard College feature;3;4;3;3;-;-;-;-;-;-
7th;3;-;3;4;3;3;1;-;-;-;-;-
8th;3;Ability Score Improvement;3;4;3;3;2;-;-;-;-;-
9th;4;Song of Rest (d8);3;4;3;3;3;1;-;-;-;-
10th;4;Bardic Inspiration (d10), Expertise, Magical Secrets;4;4;3;3;3;2;-;-;-;-
11th;4;-;4;4;3;3;3;2;1;-;-;-
12th;4;Ability Score Improvement;4;4;3;3;3;2;1;-;-;-
13th;5;Song of Rest (d10);4;4;3;3;3;2;1;1;-;-
14th;5;Magical Secrets, Bard College feature;4;4;3;3;3;2;1;1;-;-
15th;5;Bardic Inspiration (d12);4;4;3;3;3;2;1;1;1;-
16th;5;Ability Score Improvement;4;4;3;3;3;2;1;1;1;-
17th;6;Song of Rest (d12);4;4;3;3;3;2;1;1;1;1
18th;6;Magical Secrets;4;4;3;3;3;3;1;1;1;1
19th;6;Ability Score Improvement;4;4;3;3;3;3;2;1;1;1
20th;6;Superior Inspiration;4;4;3;3;3;3;2;2;1;1
